# dates,infections,hospitalizations,deaths,mean_r_t
2021-01-04,1268266.846052889,306603.0,2510.5710961296786,0.9553881668333326
2021-01-05,1254514.6764121463,306510.0,2525.580776343185,0.9526993369246257
2021-01-06,1240242.2234841182,306232.0,2539.3052574457706,0.9500496454837882
2021-01-07,1225479.0053824347,305770.0,2551.7122503199244,0.9474392511130877
2021-01-08,1210254.2472145471,305125.0,2562.772075755336,0.9448676686828034
2021-01-09,1194596.7558550253,304298.0,2572.4578207840996,0.9423338305323266
2021-01-10,1178534.895360743,303292.0,2580.7454857044936,0.9398362358039883
2021-01-11,1162096.6456130703,302107.0,2587.614120333305,0.9373731685467451
2021-01-12,1145309.6990919607,300748.0,2593.0459485907168,0.9349429366563172
2021-01-13,1128201.5437261034,299216.0,2597.0264802256766,0.9325440728949962
2021-01-14,1110799.5000510898,297516.0,2599.544607216741,0.9301754560509451
2021-01-15,1093130.7137576325,295652.0,2600.6056665345695,0.9278363452651072
2021-01-16,1075222.1259465085,293627.0,2601.0430708078225,0.9255263512748789
2021-01-17,1057100.440044402,291448.0,2600.679893859234,0.9232453781456688
2021-01-18,1038792.0880949481,289119.0,2599.3766107420297,0.9209935600729205
2021-01-19,1020323.189060765,286645.0,2597.024372086005,0.9187712035918107
2021-01-20,1001719.4947921849,284032.0,2593.5396038977037,0.9165787368065208
2021-01-21,983006.3280084453,281286.0,2588.859660592741,0.914416665523093
2021-01-22,964208.5204980758,278414.0,2582.939312811738,0.9122855370676755
2021-01-23,945350.3564652603,275420.0,2575.74789656183,0.9101859124653517
2021-01-24,926455.520709215,272313.0,2567.266982568462,0.9081183462658916
2021-01-25,907547.0492928718,269097.0,2557.4887176622005,0.9060833721367005
2021-01-26,888647.2819711992,265779.0,2546.4308191478717,0.9040814923315597
2021-01-27,869777.8178571487,262365.0,2534.1139895075967,0.9021131699007076
2021-01-28,850959.4762134574,258863.0,2520.5617013882106,0.9001788231949436
2021-01-29,832212.2629281436,255277.0,2505.799978562237,0.8982788222722793
2021-01-30,813555.3422624958,251614.0,2489.857179474121,0.8964134869304913
2021-01-31,795007.0130517543,247880.0,2472.7637884426053,0.8945830857847419
2021-02-01,776584.6892118573,244082.0,2454.5522172905858,0.8927878360503146
2021-02-02,758304.8848006513,240224.0,2435.256618644727,0.8910279038452931
2021-02-03,740183.2038031631,236314.0,2414.912711218719,0.8893034049359025
2021-02-04,722234.334484275,232356.0,2393.5576171987545,0.8876144058670349
2021-02-05,704472.0479094358,228357.0,2371.229711827021,0.8859609253827493
2021-02-06,686910.9803260261,224322.0,2347.968484826498,0.8843452277600566
